id,lyric,line
0,There's something 'bout the way,1
0,The street looks when it's just rained,2
0,"There's a glow off the pavement, you walk me to the car",3
0,And you know I wanna ask you to dance right there,4
0,"In the middle of the parking lot, yeah",5
0,"Oh, yeah",6
0,"We're driving down the road, I wonder if you know",7
0,I'm trying so hard not to get caught up now,8
0,"But you're just so cool, run your hands through your hair",9
0,Absent-mindedly making me want you,10
0,And I don't know how it gets better than this,11
0,"You take my hand and drag me head first, fearless",12
0,And I don't know why but with you I'd dance,13
0,"In a storm in my best dress, fеarless",14
0,"So, baby, drive slow 'til we run out of road in this onе-horse town",15
0,"I wanna stay right here, in this passenger's seat",16
0,You put your eyes on me,17
0,"In this moment now, capture it, remember it",18
0,Cause I don't know how it gets better than this,19
0,"You take my hand and drag me head first, fearless",20
0,And I don't know why but with you I'd dance,21
0,"In a storm in my best dress, fearless",22
0,"Oh, oh",23
0,"Well, you stood there with me in the doorway",24
0,"My hands shake, I'm not usually this way but",25
0,You pull me in and I'm a little more brave,26
0,"It's the first kiss, it's flawless, really something",27
0,It's fearless,28
0,"Oh, yeah",29
0,'Cause I don't know how it gets better than this,30
0,"You take my hand and drag me head first, fearless",31
0,And I don't know why but with you I'd dance,32
0,"In a storm in my best dress, fearless",33
0,'Cause I don't know how it gets better than this,34
0,"You take my hand and drag me head first, fearless",35
0,And I don't know why but with you I'd dance,36
0,"In a storm in my best dress, fearless",37
0,"Oh, oh",38
0,"Oh-oh, yeah",39
1,You take a deep breath and you walk through the doors,1
1,It's the mornin' of your very first day,2
1,You say hi to your friends you ain't seen in a while,3
1,Try and stay out of everybody's way,4
1,It's your freshman year and you're gonna be here,5
1,For the next four years in this town,6
1,Hopin' one of those senior boys will wink at you and say,7
1,"""You know, I haven't seen you around before""",8
1,'Cause when you're fifteen and somebody tells you they love you,9
1,You're gonna believe them,10
1,"And when you're fifteen, feelin' like there's nothin' to figure out",11
1,"Well, count to ten, take it in",12
1,This is life before you know who you're gonna be,13
1,At fifteen,14
1,You sit in class next to a redhead named Abigail,15
1,"And soon enough, you're best friends",16
1,Laughin' at the other girls who think they're so cool,17
1,We'll be outta here as soon as we can,18
1,And then you're on your very first date and he's got a car,19
1,And you're feelin' like flyin',20
1,And your mama's waitin' up and you're thinkin' he's the one,21
1,And you're dancin' 'round your room when the night ends,22
1,When the night ends,23
1,'Cause when you're fifteen and somebody tells you they love you,24
1,You're gonna believe them,25
1,And when you're fifteen and your first kiss,26
1,"Makes your head spin around, well",27
1,In your life you'll do things greater than,28
1,Datin' the boy on the football team,29
1,I didn't know it at fifteen,30
1,When all you wanted was to be wanted,31
1,Wish you could go back and tell yourself what you know now,32
1,"Back then, I swore I was gonna marry him someday",33
1,But I realized some bigger dreams of mine,34
1,And Abigail gave everything she had,35
1,To a boy who changed his mind,36
1,And we both cried,37
1,Cause when you're fifteen and somebody tells you they love you,38
1,You're gonna believe them,39
1,"And when you're fifteen, don't forget to look before you fall",40
1,But I've found time can heal most anything,41
1,And you just might find who you're supposed to be,42
1,I didn't know who I was supposed to be,43
1,At fifteen,44
1,"La-la-la, la-la-la, la-la-la-la",45
1,"La-la-la, la-la-la, la-la-la-la",46
1,"La-la-la, la-la-la",47
1,Your very first day,48
1,"Take a deep breath, girl",49
1,Take a deep breath as you walk through the doors,50
2,We were both young when I first saw you,1
2,I close my eyes and the flashback starts,2
2,I'm standing there,3
2,On a balcony in summer air,4
2,"See the lights, see the party, the ball gowns",5
2,See you make your way through the crowd,6
2,"And say, ""Hello""",7
2,Little did I know,8
2,"That you were Romeo, you were throwing pebbles",9
2,"And my daddy said, ""Stay away from Juliet""",10
2,And I was crying on the staircase,11
2,"Begging you, ""Please don't go,"" and I said",12
2,"Romeo, take me somewhere we can be alone",13
2,"I'll be waiting, all there's left to do is run",14
2,You'll be the prince and I'll be the princess,15
2,"It's a love story, baby, just say, ""Yes""",16
2,So I sneak out to the garden to see you,17
2,We keep quiet 'cause we're dead if they knew,18
2,So close your eyes,19
2,"Escape this town for a little while, oh, oh",20
2,"'Cause you were Romeo, I was a scarlet letter",21
2,"And my daddy said, ""Stay away from Juliet""",22
2,But you were everything to me,23
2,"I was begging you, ""Please don't go,"" and I said",24
2,"Romeo, take me somewhere we can be alone",25
2,"I'll be waiting, all there's left to do is run",26
2,You'll be the prince and I'll be the princess,27
2,"It's a love story, baby, just say, ""Yes""",28
2,"Romeo, save me, they're trying to tell me how to feel",29
2,"This love is difficult, but it's real",30
2,"Don't be afraid, we'll make it out of this mess",31
2,"It's a love story, baby, just say, ""Yes""",32
2,"Oh, oh",33
2,And I got tired of waiting,34
2,Wondering if you were ever coming around,35
2,My faith in you was fading,36
2,When I met you on the outskirts of town,37
2,"And I said, ""Romeo, save me, I've been feeling so alone",38
2,"I keep waiting for you, but you never come",39
2,"Is this in my head? I don't know what to think""",40
2,"He knelt to the ground and pulled out a ring, and said",41
2,"""Marry me, Juliet, you'll never have to be alone",42
2,I love you and that's all I really know,43
2,"I talked to your dad, go pick out a white dress",44
2,"It's a love story, baby, just say, 'Yes'""",45
2,"Oh, oh, oh",46
2,"Oh, oh, oh",47
2,'Cause we were both young when I first saw you,48
3,"Mmm-mm, mm-mm",1
3,"Mmm-mm, mm-mm",2
3,"Mmm-mm, mm-mm, yeah",3
3,"Hey Stephen, I know looks can be deceiving",4
3,But I know I saw a light in you,5
3,And as we walked we were talking,6
3,I didn't say half the things I wanted to,7
3,Of all the girls tossing rocks at your window,8
3,I'll be the one waiting there even when it's cold,9
3,"Hey Stephen, boy, you might have me believing",10
3,I don't always have to be alone,11
3,'Cause I can't help it if you look like an angel,12
3,Can't help it if I wanna kiss you in the rain so,13
3,Come feel this magic I've been feeling since I met you,14
3,Can't help it if there's no one else,15
3,"Mmm, I can't help myself",16
3,"Hey Stephen, I've been holding back this feeling",17
3,So I got some things to say to you,18
3,"I've seen it all, so I thought",19
3,But I never seen nobody shine the way you do,20
3,"The way you walk, way you talk, way you say my name",21
3,"It's beautiful, wonderful, don't you ever change",22
3,"Hey Stephen, why are people always leaving?",23
3,I think you and I should stay the same,24
3,'Cause I can't help it if you look like an angel,25
3,Can't help it if I wanna kiss you in the rain so,26
3,Come feel this magic I've been feeling since I met you,27
3,Can't help it if there's no one else,28
3,"Mmm, I can't help myself",29
3,"They're dimming the street lights, you're perfect for me",30
3,Why aren't you here tonight?,31
3,"I'm waiting alone now, so come on and come out",32
3,"And pull me near and shine, shine, shine",33
3,"Hey Stephen, I could give you fifty reasons",34
3,Why I should be the one you choose,35
3,"All those other girls, well, they're beautiful",36
3,But would they write a song for you? (Ha-ha-ha),37
3,I can't help it if you look like an angel,38
3,Can't help it if I wanna kiss you in the rain so,39
3,Come feel this magic I've been feeling since I met you,40
3,Can't help it if there's no one else,41
3,"Mmm, I can't help myself",42
3,If you look like an angel,43
3,Can't help it if I wanna kiss you in the rain so,44
3,Come feel this magic I've been feeling since I met you,45
3,Can't help it if there's no one else,46
3,"Mmm, I can't help myself",47
3,"Ah-uh, myself",48
3,"Mmm-mm, I can't help myself",49
3,I can't help myself,50
3,Oh-oh-oh,51
3,"Mmm-mm, mm-mm",52
3,"Mmm-mm, mm-mm",53
3,"Mmm-mm, mm-mm",54
4,"Say you're sorry, that face of an angel",1
4,Comes out just when you need it to,2
4,As I paced back and forth all this time,3
4,'Cause I honestly believed in you,4
4,"Holdin' on, the days drag on",5
4,"Stupid girl, I shoulda known, I shoulda known",6
4,"That I'm not a princess, this ain't a fairytale",7
4,"I'm not the one you'll sweep off her feet, lead her up the stairwell",8
4,"This ain't Hollywood, this is a small town",9
4,I was a dreamer before you went and let me down,10
4,Now it's too late for you and your white horse,11
4,To come around,12
4,"Maybe I was naïve, got lost in your eyes",13
4,And never really had a chance,14
4,"My mistake, I didn't know to bе in love",15
4,You had to fight to have the uppеr hand,16
